VulnerabilityID,PkgID,PkgName,PkgIdentifier,InstalledVersion,Status,Layer,SeveritySource,PrimaryURL,DataSource,Title,Description,Severity,CweIDs,VendorSeverity,CVSS,References,PublishedDate,LastModifiedDate
CVE-2011-3374,apt@2.6.1,apt,@{PURL=pkg:deb/debian/apt@2.6.1?arch=amd64&distro=debian-12.10; UID=d08c5489d80bc317},2.6.1,affected,@{DiffID=sha256:1287fbecdfcce6ee8cf2436e5b9e9d86a4648db2d91080377d499737f1b307f3},debian,https://avd.aquasec.com/nvd/cve-2011-3374,@{ID=debian; Name=Debian Security Tracker; URL=https://salsa.debian.org/security-tracker-team/security-tracker},"It was found that apt-key in apt, all versions, do not correctly valid ...","It was found that apt-key in apt, all versions, do not correctly validate gpg keys with the master keyring, leading to a potential man-in-the-middle attack.",LOW,System.Object[],@{debian=1; nvd=1},@{nvd=},System.Object[],2019-11-26T00:15:11.03Z,2024-11-21T01:30:22.61Z
TEMP-0841856-B18BAF,bash@5.2.15-2+b7,bash,@{PURL=pkg:deb/debian/bash@5.2.15-2%2Bb7?arch=amd64&distro=debian-12.10; UID=9bf7a8e6bd5c6485},5.2.15-2+b7,affected,@{DiffID=sha256:1287fbecdfcce6ee8cf2436e5b9e9d86a4648db2d91080377d499737f1b307f3},debian,https://security-tracker.debian.org/tracker/TEMP-0841856-B18BAF,@{ID=debian; Name=Debian Security Tracker; URL=https://salsa.debian.org/security-tracker-team/security-tracker},[Privilege escalation possible to other user than root],,LOW,,@{debian=1},,,,
CVE-2022-0563,bsdutils@1:2.38.1-5+deb12u3,bsdutils,@{PURL=pkg:deb/debian/bsdutils@2.38.1-5%2Bdeb12u3?arch=amd64&distro=debian-12.10&epoch=1; UID=b5147cb35d13a963},1:2.38.1-5+deb12u3,affected,@{DiffID=sha256:1287fbecdfcce6ee8cf2436e5b9e9d86a4648db2d91080377d499737f1b307f3},debian,https://avd.aquasec.com/nvd/cve-2022-0563,@{ID=debian; Name=Debian Security Tracker; URL=https://salsa.debian.org/security-tracker-team/security-tracker},util-linux: partial disclosure of arbitrary files in chfn and chsh when compiled with libreadline,"A flaw was found in the util-linux chfn and chsh utilities when compiled with Readline support. The Readline library uses an ""INPUTRC"" environment variable to get a path to the library config file. When the library cannot parse the specified file, it prints an error message containing data from the file. This flaw allows an unprivileged user to read root-owned files, potentially leading to privilege escalation. This flaw affects util-linux versions prior to 2.37.4.",LOW,System.Object[],@{amazon=2; cbl-mariner=2; debian=1; nvd=2; photon=2; redhat=2},@{nvd=; redhat=},System.Object[],2022-02-21T19:15:08.393Z,2024-11-21T06:38:55.503Z
CVE-2016-2781,coreutils@9.1-1,coreutils,@{PURL=pkg:deb/debian/coreutils@9.1-1?arch=amd64&distro=debian-12.10; UID=bed513a0ab732758},9.1-1,will_not_fix,@{DiffID=sha256:1287fbecdfcce6ee8cf2436e5b9e9d86a4648db2d91080377d499737f1b307f3},debian,https://avd.aquasec.com/nvd/cve-2016-2781,@{ID=debian; Name=Debian Security Tracker; URL=https://salsa.debian.org/security-tracker-team/security-tracker},coreutils: Non-privileged session can escape to the parent session in chroot,"chroot in GNU coreutils, when used with --userspec, allows local users to escape to the parent session via a crafted TIOCSTI ioctl call, which pushes characters to the terminal's input buffer.",LOW,System.Object[],@{azure=2; cbl-mariner=2; debian=1; nvd=2; redhat=2; ubuntu=1},@{nvd=; redhat=},System.Object[],2017-02-07T15:59:00.333Z,2024-11-21T02:48:47.593Z
CVE-2017-18018,coreutils@9.1-1,coreutils,@{PURL=pkg:deb/debian/coreutils@9.1-1?arch=amd64&distro=debian-12.10; UID=bed513a0ab732758},9.1-1,affected,@{DiffID=sha256:1287fbecdfcce6ee8cf2436e5b9e9d86a4648db2d91080377d499737f1b307f3},debian,https://avd.aquasec.com/nvd/cve-2017-18018,@{ID=debian; Name=Debian Security Tracker; URL=https://salsa.debian.org/security-tracker-team/security-tracker},coreutils: race condition vulnerability in chown and chgrp,"In GNU Coreutils through 8.29, chown-core.c in chown and chgrp does not prevent replacement of a plain file with a symlink during use of the POSIX ""-R -L"" options, which allows local users to modify the ownership of arbitrary files by leveraging a race condition.",LOW,System.Object[],@{debian=1; nvd=2; redhat=2},@{nvd=; redhat=},System.Object[],2018-01-04T04:29:00.19Z,2024-11-21T03:19:10.713Z
CVE-2024-2379,curl@7.88.1-10+deb12u12,curl,@{PURL=pkg:deb/debian/curl@7.88.1-10%2Bdeb12u12?arch=amd64&distro=debian-12.10; UID=ffb7e6418760458f},7.88.1-10+deb12u12,affected,@{DiffID=sha256:135f786ad04647c6e58d9a2d4f6f87bd677ef6144ab24c81a6f5be7acc63fbc9},debian,https://avd.aquasec.com/nvd/cve-2024-2379,@{ID=debian; Name=Debian Security Tracker; URL=https://salsa.debian.org/security-tracker-team/security-tracker},curl: QUIC certificate check bypass with wolfSSL,"libcurl skips the certificate verification for a QUIC connection under certain conditions, when built to use wolfSSL. If told to use an unknown/bad cipher or curve, the error path accidentally skips the verification and returns OK, thus ignoring any certificate problems.",LOW,,@{azure=2; debian=1; redhat=1},@{redhat=},System.Object[],2024-03-27T08:15:41.23Z,2024-11-21T09:09:37.57Z
CVE-2025-0725,curl@7.88.1-10+deb12u12,curl,@{PURL=pkg:deb/debian/curl@7.88.1-10%2Bdeb12u12?arch=amd64&distro=debian-12.10; UID=ffb7e6418760458f},7.88.1-10+deb12u12,affected,@{DiffID=sha256:135f786ad04647c6e58d9a2d4f6f87bd677ef6144ab24c81a6f5be7acc63fbc9},debian,https://avd.aquasec.com/nvd/cve-2025-0725,@{ID=debian; Name=Debian Security Tracker; URL=https://salsa.debian.org/security-tracker-team/security-tracker},libcurl: Buffer Overflow in libcurl via zlib Integer Overflow,"When libcurl is asked to perform automatic gzip decompression of
content-encoded HTTP responses with the `CURLOPT_ACCEPT_ENCODING` option,
**using zlib 1.2.0.3 or older**, an attacker-controlled integer overflow would
make libcurl perform a buffer overflow.",LOW,,@{azure=3; cbl-mariner=3; debian=1; redhat=1},@{redhat=},System.Object[],2025-02-05T10:15:22.98Z,2025-03-07T01:15:12.403Z
CVE-2022-27943,gcc-12-base@12.2.0-14,gcc-12-base,@{PURL=pkg:deb/debian/gcc-12-base@12.2.0-14?arch=amd64&distro=debian-12.10; UID=9a668c24c45de553},12.2.0-14,affected,@{DiffID=sha256:1287fbecdfcce6ee8cf2436e5b9e9d86a4648db2d91080377d499737f1b307f3},debian,https://avd.aquasec.com/nvd/cve-2022-27943,@{ID=debian; Name=Debian Security Tracker; URL=https://salsa.debian.org/security-tracker-team/security-tracker},binutils: libiberty/rust-demangle.c in GNU GCC 11.2 allows stack exhaustion in demangle_const,"libiberty/rust-demangle.c in GNU GCC 11.2 allows stack consumption in demangle_const, as demonstrated by nm-new.",LOW,System.Object[],@{amazon=1; debian=1; nvd=2; redhat=1; ubuntu=1},@{nvd=; redhat=},System.Object[],2022-03-26T13:15:07.9Z,2024-11-21T06:56:31.04Z
CVE-2023-4039,gcc-12-base@12.2.0-14,gcc-12-base,@{PURL=pkg:deb/debian/gcc-12-base@12.2.0-14?arch=amd64&distro=debian-12.10; UID=9a668c24c45de553},12.2.0-14,affected,@{DiffID=sha256:1287fbecdfcce6ee8cf2436e5b9e9d86a4648db2d91080377d499737f1b307f3},debian,https://avd.aquasec.com/nvd/cve-2023-4039,@{ID=debian; Name=Debian Security Tracker; URL=https://salsa.debian.org/security-tracker-team/security-tracker},gcc: -fstack-protector fails to guard dynamic stack allocations on ARM64,"**DISPUTED**A failure in the -fstack-protector feature in GCC-based toolchains 
that target AArch64 allows an attacker to exploit an existing buffer 
overflow in dynamically-sized local variables in your application 
without this being detected. This stack-protector failure only applies 
to C99-style dynamically-sized local variables or those created using 
alloca(). The stack-protector operates as intended for statically-sized 
local variables.

The default behavior when the stack-protector 
detects an overflow is to terminate your application, resulting in 
controlled loss of availability. An attacker who can exploit a buffer 
overflow without triggering the stack-protector might be able to change 
program flow control to cause an uncontrolled loss of availability or to
 go further and affect confidentiality or integrity. NOTE: The GCC project argues that this is a missed hardening bug and not a vulnerability by itself.",LOW,System.Object[],@{amazon=2; azure=2; cbl-mariner=2; debian=1; nvd=2; oracle-oval=1; ubuntu=1},@{nvd=},System.Object[],2023-09-13T09:15:15.69Z,2025-02-13T17:17:14.717Z
CVE-2022-3219,gpgv@2.2.40-1.1,gpgv,@{PURL=pkg:deb/debian/gpgv@2.2.40-1.1?arch=amd64&distro=debian-12.10; UID=7e56e6619044133a},2.2.40-1.1,affected,@{DiffID=sha256:1287fbecdfcce6ee8cf2436e5b9e9d86a4648db2d91080377d499737f1b307f3},debian,https://avd.aquasec.com/nvd/cve-2022-3219,@{ID=debian; Name=Debian Security Tracker; URL=https://salsa.debian.org/security-tracker-team/security-tracker},gnupg: denial of service issue (resource consumption) using compressed packets,"GnuPG can be made to spin on a relatively small input by (for example) crafting a public key with thousands of signatures attached, compressed down to just a few KB.",LOW,System.Object[],@{debian=1; nvd=1; redhat=1; ubuntu=1},@{nvd=; redhat=},System.Object[],2023-02-23T20:15:12.393Z,2025-03-12T21:15:38.207Z
CVE-2025-30258,gpgv@2.2.40-1.1,gpgv,@{PURL=pkg:deb/debian/gpgv@2.2.40-1.1?arch=amd64&distro=debian-12.10; UID=7e56e6619044133a},2.2.40-1.1,affected,@{DiffID=sha256:1287fbecdfcce6ee8cf2436e5b9e9d86a4648db2d91080377d499737f1b307f3},,https://avd.aquasec.com/nvd/cve-2025-30258,@{ID=debian; Name=Debian Security Tracker; URL=https://salsa.debian.org/security-tracker-team/security-tracker},gnupg: verification DoS due to a malicious subkey in the keyring,"In GnuPG before 2.5.5, if a user chooses to import a certificate with certain crafted subkey data that lacks a valid backsig or that has incorrect usage flags, the user loses the ability to verify signatures made from certain other signing keys, aka a ""verification DoS.""",LOW,System.Object[],@{redhat=1},@{redhat=},System.Object[],2025-03-19T20:15:20.14Z,2025-03-19T20:15:20.14Z
CVE-2025-0838,libabsl20220623@20220623.1-1,libabsl20220623,@{PURL=pkg:deb/debian/libabsl20220623@20220623.1-1?arch=amd64&distro=debian-12.10; UID=f2018780fcadc561},20220623.1-1,affected,@{DiffID=sha256:135f786ad04647c6e58d9a2d4f6f87bd677ef6144ab24c81a6f5be7acc63fbc9},,https://avd.aquasec.com/nvd/cve-2025-0838,@{ID=debian; Name=Debian Security Tracker; URL=https://salsa.debian.org/security-tracker-team/security-tracker},abseil-cpp: Heap Buffer overflow in Abseil,"There exists a heap buffer overflow vulnerable in Abseil-cpp. The sized constructors, reserve(), and rehash() methods of absl::{flat,node}hash{set,map} did not impose an upper bound on their size argument. As a result, it was possible for a caller to pass a very large size that would cause an integer overflow when computing the size of the container's backing store, and a subsequent out-of-bounds memory write. Subsequent accesses to the container might also access out-of-bounds memory. We recommend upgrading past commit 5a0e2cb5e3958dd90bb8569a2766622cb74d90c1",MEDIUM,System.Object[],@{redhat=2; ubuntu=2},@{redhat=},System.Object[],2025-02-21T15:15:11.89Z,2025-02-21T15:15:11.89Z
CVE-2023-6879,libaom3@3.6.0-1+deb12u1,libaom3,@{PURL=pkg:deb/debian/libaom3@3.6.0-1%2Bdeb12u1?arch=amd64&distro=debian-12.10; UID=2af453d8c99d1627},3.6.0-1+deb12u1,affected,@{DiffID=sha256:135f786ad04647c6e58d9a2d4f6f87bd677ef6144ab24c81a6f5be7acc63fbc9},nvd,https://avd.aquasec.com/nvd/cve-2023-6879,@{ID=debian; Name=Debian Security Tracker; URL=https://salsa.debian.org/security-tracker-team/security-tracker},aom: heap-buffer-overflow on frame size change,"Increasing the resolution of video frames, while performing a multi-threaded encode, can result in a heap overflow in av1_loop_restoration_dealloc().",CRITICAL,System.Object[],@{nvd=4; redhat=3},@{nvd=; redhat=},System.Object[],2023-12-27T23:15:07.53Z,2025-02-13T18:16:11.25Z
CVE-2023-39616,libaom3@3.6.0-1+deb12u1,libaom3,@{PURL=pkg:deb/debian/libaom3@3.6.0-1%2Bdeb12u1?arch=amd64&distro=debian-12.10; UID=2af453d8c99d1627},3.6.0-1+deb12u1,will_not_fix,@{DiffID=sha256:135f786ad04647c6e58d9a2d4f6f87bd677ef6144ab24c81a6f5be7acc63fbc9},nvd,https://avd.aquasec.com/nvd/cve-2023-39616,@{ID=debian; Name=Debian Security Tracker; URL=https://salsa.debian.org/security-tracker-team/security-tracker},AOMedia v3.0.0 to v3.5.0 was discovered to contain an invalid read mem ...,AOMedia v3.0.0 to v3.5.0 was discovered to contain an invalid read memory access via the component assign_frame_buffer_p in av1/common/av1_common_int.h.,HIGH,System.Object[],@{nvd=3},@{nvd=},System.Object[],2023-08-29T17:15:12.633Z,2024-11-21T08:15:42.747Z
CVE-2011-3374,libapt-pkg6.0@2.6.1,libapt-pkg6.0,@{PURL=pkg:deb/debian/libapt-pkg6.0@2.6.1?arch=amd64&distro=debian-12.10; UID=bde99af618fe15e4},2.6.1,affected,@{DiffID=sha256:1287fbecdfcce6ee8cf2436e5b9e9d86a4648db2d91080377d499737f1b307f3},debian,https://avd.aquasec.com/nvd/cve-2011-3374,@{ID=debian; Name=Debian Security Tracker; URL=https://salsa.debian.org/security-tracker-team/security-tracker},"It was found that apt-key in apt, all versions, do not correctly valid ...","It was found that apt-key in apt, all versions, do not correctly validate gpg keys with the master keyring, leading to a potential man-in-the-middle attack.",LOW,System.Object[],@{debian=1; nvd=1},@{nvd=},System.Object[],2019-11-26T00:15:11.03Z,2024-11-21T01:30:22.61Z
CVE-2022-0563,libblkid1@2.38.1-5+deb12u3,libblkid1,@{PURL=pkg:deb/debian/libblkid1@2.38.1-5%2Bdeb12u3?arch=amd64&distro=debian-12.10; UID=db8b5ae53bf85f30},2.38.1-5+deb12u3,affected,@{DiffID=sha256:1287fbecdfcce6ee8cf2436e5b9e9d86a4648db2d91080377d499737f1b307f3},debian,https://avd.aquasec.com/nvd/cve-2022-0563,@{ID=debian; Name=Debian Security Tracker; URL=https://salsa.debian.org/security-tracker-team/security-tracker},util-linux: partial disclosure of arbitrary files in chfn and chsh when compiled with libreadline,"A flaw was found in the util-linux chfn and chsh utilities when compiled with Readline support. The Readline library uses an ""INPUTRC"" environment variable to get a path to the library config file. When the library cannot parse the specified file, it prints an error message containing data from the file. This flaw allows an unprivileged user to read root-owned files, potentially leading to privilege escalation. This flaw affects util-linux versions prior to 2.37.4.",LOW,System.Object[],@{amazon=2; cbl-mariner=2; debian=1; nvd=2; photon=2; redhat=2},@{nvd=; redhat=},System.Object[],2022-02-21T19:15:08.393Z,2024-11-21T06:38:55.503Z
CVE-2010-4756,libc-bin@2.36-9+deb12u10,libc-bin,@{PURL=pkg:deb/debian/libc-bin@2.36-9%2Bdeb12u10?arch=amd64&distro=debian-12.10; UID=205f0e4a1d969bcb},2.36-9+deb12u10,affected,@{DiffID=sha256:1287fbecdfcce6ee8cf2436e5b9e9d86a4648db2d91080377d499737f1b307f3},debian,https://avd.aquasec.com/nvd/cve-2010-4756,@{ID=debian; Name=Debian Security Tracker; URL=https://salsa.debian.org/security-tracker-team/security-tracker},glibc: glob implementation can cause excessive CPU and memory consumption due to crafted glob expressions,"The glob implementation in the GNU C Library (aka glibc or libc6) allows remote authenticated users to cause a denial of service (CPU and memory consumption) via crafted glob expressions that do not match any pathnames, as demonstrated by glob expressions in STAT commands to an FTP daemon, a different vulnerability than CVE-2010-2632.",LOW,System.Object[],@{debian=1; nvd=2; redhat=1},@{nvd=; redhat=},System.Object[],2011-03-02T20:00:01.037Z,2024-11-21T01:21:41.423Z
CVE-2018-20796,libc-bin@2.36-9+deb12u10,libc-bin,@{PURL=pkg:deb/debian/libc-bin@2.36-9%2Bdeb12u10?arch=amd64&distro=debian-12.10; UID=205f0e4a1d969bcb},2.36-9+deb12u10,affected,@{DiffID=sha256:1287fbecdfcce6ee8cf2436e5b9e9d86a4648db2d91080377d499737f1b307f3},debian,https://avd.aquasec.com/nvd/cve-2018-20796,@{ID=debian; Name=Debian Security Tracker; URL=https://salsa.debian.org/security-tracker-team/security-tracker},glibc: uncontrolled recursion in function check_dst_limits_calc_pos_1 in posix/regexec.c,"In the GNU C Library (aka glibc or libc6) through 2.29, check_dst_limits_calc_pos_1 in posix/regexec.c has Uncontrolled Recursion, as demonstrated by '(\227|)(\\1\\1|t1|\\\2537)+' in grep.",LOW,System.Object[],@{cbl-mariner=3; debian=1; nvd=3; redhat=2},@{nvd=; redhat=},System.Object[],2019-02-26T02:29:00.45Z,2024-11-21T04:02:11.827Z
CVE-2019-1010022,libc-bin@2.36-9+deb12u10,libc-bin,@{PURL=pkg:deb/debian/libc-bin@2.36-9%2Bdeb12u10?arch=amd64&distro=debian-12.10; UID=205f0e4a1d969bcb},2.36-9+deb12u10,affected,@{DiffID=sha256:1287fbecdfcce6ee8cf2436e5b9e9d86a4648db2d91080377d499737f1b307f3},debian,https://avd.aquasec.com/nvd/cve-2019-1010022,@{ID=debian; Name=Debian Security Tracker; URL=https://salsa.debian.org/security-tracker-team/security-tracker},glibc: stack guard protection bypass,"GNU Libc current is affected by: Mitigation bypass. The impact is: Attacker may bypass stack guard protection. The component is: nptl. The attack vector is: Exploit stack buffer overflow vulnerability and use this bypass vulnerability to bypass stack guard. NOTE: Upstream comments indicate ""this is being treated as a non-security bug and no real threat.",LOW,System.Object[],@{debian=1; nvd=4},@{nvd=},System.Object[],2019-07-15T04:15:13.317Z,2024-11-21T04:17:55.5Z
